order,sectionTitle,lessonTitle,slug,sectionIcon,filePath,description
06C,Meetings,Running the Meeting,meetings/running-the-meeting,person-chalkboard,/lessons/meetings/running-the-meeting,"Learn how to run a successful meeting by owning the space, managing tangents effectively, and utilizing inoculation theory to address potential concerns beforehand. These tips apply to both big companies and startups."
06D,Meetings,Exercise,meetings/exercise,person-chalkboard,/lessons/meetings/exercise,"Plan a one-hour meeting around the formatting exercise memo, involving executives, technical stakeholders, and team members. Address the delay, reasons behind it, and future plans while discussing design, research, and development processes. Expect tension but a shared goal of launching new features."
07A,Metrics,Stats and Graphs,metrics/stats-and-graphs,chart-column,/lessons/metrics/stats-and-graphs,"Learn the importance of basic stats for product managers and how it can improve their understanding and storytelling with numbers. Topics covered include sampling, p-values, and effective graphing techniques."
07B,Metrics,Team and Project Metrics,metrics/team-and-project-metrics,chart-column,/lessons/metrics/team-and-project-metrics,"Learn about the importance of metrics in product management, including team/organization metrics and project metrics. Discover key metrics for Netflix, such as sign-ups, retention, revenue, and watch-hours. Understand how CSAT (Customer Satisfaction) is a relative metric that should be tracked but not overemphasized."
07C,Metrics,Exercise,metrics/exercise,chart-column,/lessons/metrics/exercise,"This markdown document discusses various projects and their associated metrics that companies like Nike, Spotify, Delta Airlines, Strava, and PlayStation would track. The projects include improving the add to cart process for Nike, enhancing music recommendations for Spotify, detecting expiring credit cards for Delta Airlines, adding a share to Facebook button for completing bike rides on Strava, and enabling sign-in with QR code and phone for PlayStation."
08A,Product,User Stories,product/user-stories,shapes,/lessons/product/user-stories,Learn the basics of product management through user stories and prioritizing user needs. Validate user stories through research and keep users in mind throughout the product development process.
08B,Product,Product Specs,product/product-specs,shapes,/lessons/product/product-specs,"Learn how to write an effective product specification (spec) that proposes a project and aligns everyone involved. This guide covers the important sections of a spec, including the executive summary, problem statement, goals, key metrics, rollback criteria, timelines, designs, technical concerns, and appendix."
08C,Product,Example of a Spec,product/example-of-a-spec,shapes,/lessons/product/example-of-a-spec,"Netflix seeks to add a feature that allows users to watch shows together and engage in synchronized video chats similar to FaceTime. The goal is to provide a true living room chat experience for users while watching their favorite shows, leveraging video-chat-enabled devices."
08D,Product,Exercise,product/exercise,shapes,/lessons/product/exercise,"Write a product spec for your own project or idea, utilizing domain knowledge. Includes examples like integrating Spotify with Zoom, live player updates in ESPN's fantasy sports app, and assigning bounties on GitHub."
09A,Planning,Planning Tips,planning/planning-tips,calendar-check,/lessons/planning/planning-tips,"Learn about effective planning strategies in the tech industry, including the importance of having a plan, aligning with organizational culture, starting the planning process, sourcing ideas from various stakeholders, following themes, and structuring projects for completion. Find tips on milestone setting, prioritization, and communicating future needs through the cutline. Avoid common pitfalls by ensuring research and feasibility before adding projects to the roadmap."
09B,Planning,Prioritizing,planning/prioritizing,calendar-check,/lessons/planning/prioritizing,"Learn about prioritization methods for product managers, including the Complexity vs Business Value matrix and the RICE Method. These frameworks help assess the impact, risk, and cost of tasks, allowing you to prioritize effectively."
09C,Planning,Exercise,planning/exercise,calendar-check,/lessons/planning/exercise,"Create a prioritized roadmap for the next quarter of a direct-to-consumer e-bike company focused on growth and commuters. Key projects include making bikes compatible with Strava, redesigning onboarding flow, adding racing-mode for circular tracks, implementing dark mode for nighttime commuting, adding child mode for safety, and fixing a timezone bug."
10A,Conclusion,Congrats,conclusion/congrats,graduation-cap,/lessons/conclusion/congrats,"Congrats on finishing the course! This biased take on how to be a PM provides insights from a Microsoft, Stripe, and Snowflake perspective, acknowledging that there are multiple correct approaches to this role. Whether you're looking to enhance your PM skills or embark on a PM career, this class offers valuable lessons."
